,id,track,artist,genre,year,bpm,energy,danceability,loudness,liveness,valence,track_length,acousticness,speechiness,popularity
98,485,Demons,Imagine Dragons,modern rock,2012,90,71,51,-3,33,43,175,19,3,73
99,488,Try,P!nk,dance pop,2012,104,63,67,-7,9,55,248,0,3,73
100,577,Magic,Coldplay,permanent wave,2014,93,48,74,-9,11,36,285,3,4,73
101,642,Be the One,Dua Lipa,dance pop,2015,87,65,66,-4,6,37,203,12,5,73
102,651,Hello,Adele,british soul,2016,158,45,48,-6,9,29,295,34,3,73
103,654,When We Were Young,Adele,british soul,2016,144,59,38,-6,9,27,291,35,5,73
104,780,Arcade,Duncan Laurence,dutch pop,2019,72,33,45,-13,14,27,184,82,4,73
105,782,Don't You (Forget About Me),Simple Minds,art rock,2019,111,75,67,-9,29,69,261,8,3,73
106,442,Still Loving You,Scorpions,album rock,2011,104,61,28,-5,10,8,403,0,3,72
107,507,I Won't Give Up,Jason Mraz,acoustic pop,2012,137,30,59,-10,12,14,240,69,4,72
108,541,All I Want,Kodaline,irish pop,2013,86,41,21,-10,8,16,306,17,4,72
109,597,Time After Time,Cyndi Lauper,dance pop,2014,130,44,72,-9,9,32,243,58,3,72
110,792,DEUTSCHLAND,Rammstein,alternative metal,2019,120,90,52,-5,10,24,322,0,4,72
111,470,Lego House,Ed Sheeran,pop,2011,160,64,59,-8,13,56,185,56,10,71
112,612,Chandelier,Sia,australian dance,2015,117,79,40,-3,7,57,216,2,5,71
113,721,Homesick,Dua Lipa,dance pop,2017,86,22,43,-9,11,40,230,95,4,71
114,790,Reünie,Snelle,dutch hip hop,2019,96,35,51,-9,59,51,172,67,15,71
115,495,Madness,Muse,modern rock,2012,180,42,50,-8,11,22,281,13,7,70
116,504,Hall of Fame,The Script,celtic rock,2012,85,87,42,-4,12,63,203,7,6,70
117,538,Pompeii,Bastille,metropopolis,2013,127,72,68,-6,27,57,214,8,4,70
118,584,L'amour Toujours (Small Mix),Gigi D'Agostino,eurodance,2014,139,88,64,-4,36,74,242,8,3,70
119,600,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,70
120,643,Up&Up,Coldplay,permanent wave,2015,164,72,48,-5,10,25,405,5,6,70
121,673,All I Ask,Adele,british soul,2016,142,28,59,-5,15,34,272,88,3,70
122,779,Roller Coaster,Danny Vera,dutch americana,2019,97,38,40,-10,12,28,270,51,3,70
123,444,Walk,Foo Fighters,alternative metal,2011,138,87,23,-5,29,19,256,0,5,69
124,465,Gold on the Ceiling,The Black Keys,alternative rock,2011,130,83,51,-5,7,56,224,1,5,69
125,489,I Will Wait,Mumford & Sons,modern folk rock,2012,131,76,48,-5,31,45,277,1,3,69
126,542,Addicted To You,Avicii,big room,2013,128,79,57,-4,9,30,148,5,5,69
127,607,Psycho,Muse,modern rock,2015,125,88,56,-3,87,51,317,0,3,69
128,617,Everglow,Coldplay,permanent wave,2015,146,45,54,-9,11,14,283,46,3,69
129,685,Thriller,Michael Jackson,pop,2017,118,89,76,-4,85,72,358,8,7,69
130,704,Freedom! '90 - Remastered,George Michael,dance rock,2017,92,85,68,-11,6,93,391,23,5,69
131,725,Skin,Rag'n'Bone Man,neo soul,2017,171,75,56,-8,15,35,240,27,31,69
132,457,Every Teardrop Is a Waterfall,Coldplay,permanent wave,2011,118,73,43,-7,17,31,241,0,4,68
133,628,"Theme From New York, New York",Frank Sinatra,adult standards,2015,109,59,41,-5,28,56,204,55,3,68
134,630,Budapest,George Ezra,folk-pop,2015,128,46,72,-8,11,39,201,8,3,68
135,635,A Head Full of Dreams,Coldplay,permanent wave,2015,123,92,45,-5,33,8,224,0,7,68
136,722,Beautiful Trauma,P!nk,dance pop,2017,96,62,41,-6,40,23,250,9,7,68
137,729,Duurt Te Lang,Davina Michelle,dutch pop,2018,174,44,64,-14,9,15,154,13,20,68
138,795,Blauwe Dag,Suzan & Freek,dutch pop,2019,98,56,70,-7,28,51,183,25,5,68
139,449,Titanium (feat. Sia),David Guetta,dance pop,2011,126,79,60,-4,13,30,245,7,10,67
140,478,Charlie Brown,Coldplay,permanent wave,2011,138,74,43,-7,33,9,285,2,4,67
141,513,Follow the Sun,Xavier Rudd,australian indie folk,2012,124,39,61,-11,11,22,255,53,4,67
142,517,Diamonds,Rihanna,barbadian pop,2012,92,71,56,-5,11,39,225,0,5,67
143,546,Sky and Sand,Paul Kalkbrenner,electronica,2013,127,33,79,-13,19,53,231,60,6,67
144,648,Cold Little Heart,Michael Kiwanuka,british soul,2016,108,40,49,-8,14,15,598,49,3,67
145,672,Water Under the Bridge,Adele,british soul,2016,95,84,60,-7,11,47,240,2,7,67
146,713,Holiday,Green Day,modern rock,2017,147,89,55,-3,89,72,233,0,3,67
147,781,A Whiter Shade of Pale - Original Single Version,Procol Harum,album rock,2019,150,66,25,-7,9,44,249,50,3,67
148,426,Pyro,Kings of Leon,modern rock,2010,115,61,37,-7,10,19,251,1,4,66
149,452,Turning Tables,Adele,british soul,2011,80,45,31,-6,13,21,250,95,3,66
150,461,Keep Your Head Up,Ben Howard,british singer-songwriter,2011,79,60,51,-9,11,40,265,44,3,66
151,500,On Top Of The World,Imagine Dragons,modern rock,2012,100,93,64,-6,9,76,190,9,15,66
152,516,Stay - Album Version (Edited),Rihanna,barbadian pop,2012,112,31,62,-10,12,13,241,95,3,66
153,518,It's Time,Imagine Dragons,modern rock,2012,105,88,66,-5,14,86,238,2,4,66
154,554,I Sat By The Ocean,Queens of the Stone Age,alternative metal,2013,117,78,52,-4,11,90,236,0,4,66
155,593,Shake It Off,Taylor Swift,dance pop,2014,160,80,65,-5,33,94,219,6,17,66
156,666,Love & Hate,Michael Kiwanuka,british soul,2016,170,49,28,-8,17,53,427,16,3,66
157,694,In the Blood,John Mayer,neo mellow,2017,80,66,55,-7,10,52,244,39,3,66
158,700,Everything Now,Arcade Fire,alternative dance,2017,116,87,55,-5,46,61,303,0,3,66
159,443,Little Black Submarines,The Black Keys,alternative rock,2011,95,47,37,-8,11,49,251,16,4,65
160,460,Rumour Has It,Adele,british soul,2011,120,75,62,-5,9,56,221,64,5,65
161,529,This Is What It Feels Like,Armin van Buuren,edm,2013,130,83,55,-5,6,14,204,4,3,65
162,543,Animals,Martin Garrix,big room,2013,128,87,68,-6,37,4,304,0,4,65
163,570,Born Slippy (Nuxx),Underworld,alternative dance,2014,140,95,58,-9,47,30,456,0,4,65
164,583,Red Eyes,The War On Drugs,chamber pop,2014,162,82,46,-6,16,47,299,1,4,65
165,587,Glycerine,Bush,alternative metal,2014,114,34,44,-11,10,8,266,4,3,65
166,737,Als Het Avond Is,Suzan & Freek,dutch pop,2018,105,47,72,-7,11,45,206,53,3,65
167,741,IJskoud,Nielson,dutch pop,2018,98,73,67,-7,37,15,210,4,5,65
168,797,Uncharted,Kensington,dutch pop,2019,139,53,59,-7,29,23,241,14,3,65
169,403,Love Will Tear Us Apart - 2010 Remaster,Joy Division,alternative rock,2010,147,90,53,-9,14,91,205,0,4,64
170,474,These Days,Foo Fighters,alternative metal,2011,135,66,53,-4,21,22,298,0,3,64
171,486,She,Elvis Costello,art rock,2012,131,28,33,-13,13,28,188,43,3,64
172,528,I See Fire,Ed Sheeran,pop,2013,76,5,63,-21,10,20,301,56,4,64
173,580,My Silver Lining,First Aid Kit,stomp and holler,2014,102,73,48,-5,21,43,215,3,3,64
174,723,World Gone Mad,Bastille,metropopolis,2017,140,68,51,-3,18,36,196,28,3,64
175,521,Oceaan,Racoon,dutch indie,2013,126,34,47,-8,11,24,165,86,4,63
176,594,Looking Too Closely,Fink,chamber pop,2014,175,52,48,-12,9,10,311,33,4,63
177,639,Liquid Spirit - Claptone Remix,Gregory Porter,contemporary vocal jazz,2015,121,62,88,-9,5,30,384,0,5,63
178,647,Sorry,Kensington,dutch pop,2016,134,41,46,-8,10,9,227,50,3,63
179,661,You Want It Darker,Leonard Cohen,canadian folk,2016,109,33,67,-17,8,49,284,61,6,63
180,705,Amsterdam,Nothing But Thieves,alternative pop rock,2017,168,93,51,-5,24,67,272,0,24,63
181,555,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,2013,108,87,74,-3,27,59,225,3,4,62
182,650,Leef,André Hazes Jr.,dutch pop,2016,121,73,67,-7,18,78,218,28,4,62
183,659,Million Years Ago,Adele,british soul,2016,106,27,72,-8,11,18,227,73,3,62
184,701,Sorry,Nothing But Thieves,alternative pop rock,2017,128,78,67,-5,13,52,215,0,3,62
185,716,Pain,The War On Drugs,chamber pop,2017,116,83,52,-4,8,48,331,0,4,62
186,413,Alors on danse,Stromae,belgian pop,2010,120,59,79,-9,7,73,206,9,8,61
187,564,Rolling In The Deep,Adele,british soul,2014,105,76,73,-5,6,54,228,13,3,61
188,602,Nothing Really Matters,Mr. Probz,dutch hip hop,2014,135,23,40,-9,11,28,222,89,4,61
189,658,Lazarus,David Bowie,album rock,2016,130,70,66,-7,9,51,382,5,3,61
190,436,Rainbow In The Sky - K & A's Radio Blast,DJ Paul Elstak,gabba,2011,168,94,48,-7,28,26,213,0,3,60
191,569,In Your Arms,Chef'Special,dutch indie,2014,93,41,67,-12,11,36,215,65,5,60
192,576,Under The Pressure,The War On Drugs,chamber pop,2014,134,71,33,-7,13,19,532,31,3,60
193,632,Mercy,Muse,modern rock,2015,130,93,48,-5,31,37,232,1,5,60
194,653,Treur Niet (Ode Aan Het Leven),Diggy Dex,dutch hip hop,2016,98,72,68,-9,13,57,225,20,6,60
195,703,Through the Barricades - Remastered,Spandau Ballet,dance rock,2017,146,28,49,-14,12,17,360,30,3,60
196,772,Guiding Light,Mumford & Sons,modern folk rock,2018,100,71,55,-8,8,30,218,6,5,60
197,425,Man Down,Rihanna,barbadian pop,2010,156,91,48,-4,5,54,267,4,19,59
198,539,Waves,Mr. Probz,dutch hip hop,2013,174,28,36,-12,38,20,174,54,4,59
199,571,War,Kensington,dutch pop,2014,126,81,64,-6,7,72,177,8,3,59
200,595,No Good in Goodbye,The Script,celtic rock,2014,156,87,37,-5,8,22,308,1,4,59
201,664,Mooi,Marco Borsato,dutch cabaret,2016,150,43,49,-8,12,31,315,10,3,59
202,708,Thinking Of A Place,The War On Drugs,chamber pop,2017,103,63,48,-7,12,16,671,39,3,59
